prompt ; source
Hvordan registrerer jeg en tilbakebetaling? ; SupportAI
Kan jeg som administrator endre timelistene til de ansatte? ; SupportAI
Hvordan legger jeg til noter i årsregnskapet? ; SupportAI
Hvordan endrer jeg e-post på en ansatt? ; SupportAI
Kan noe merkes som sluttfaktura? ; SupportAI
Hvordan registrere refusjon for el-bil ladning på lønning ; SupportAI
Jeg har udekket tap fra tidligere år, hvordan fører jeg overskudd for i år mot dette? ; SupportAI
Hvor mye alkohol kan jeg føre på privat utlegg? ; Sticos
Hvordan avskrives driftsmidler etter balanseføring? ; Sticos
Pause under arbeidstid ; Sticos
Når må jeg sende inn MVA-melding? ; Sticos
Hvilken momskode skal jeg bruke ved salg til utlandet? ; Sticos
Er gaver til samarbeidspartnere regnskapsmessig og skattemessig fradragsberettiget? ; Sticos
hvordan får jeg tatt ut næringsspesifikasjon ; Sticos
hvordan fungerer anleggsregisteret? ; Sticos
Hvilke kostnadsposter avviker mest fra budsjett i 2024? ; Innsiktsmodulen
Hva er årets faktiske lønnskostnader sammenlignet med budsjett? ; Innsiktsmodulen
Hvor mye har selskapet tjent i renteinntekter hittil i år? ; Innsiktsmodulen
Hva er total varekostnad, og hvordan avviker den fra budsjett? ; Innsiktsmodulen
Hvordan påvirker finansposter årets resultat? ; Innsiktsmodulen
